Fabric,Zone Configuration Status,Alias,Alias Type,Member WWN / D,P,Logged In,Vendor,Zone
FAB-A,Effective,aix_prod01_0,WWN,10:00:00:90:fa:11:22:01,Yes,IBM,aix_prod01_0_2_storage01_pg01
FAB-A,Effective,aix_prod01_1,WWN,10:00:00:90:fa:11:22:02,Yes,IBM,aix_prod01_1_2_storage01_pg01
FAB-A,Effective,aix_prod01_2,WWN,10:00:00:90:fa:11:22:03,No,IBM,
FAB-A,Effective,aix_prod01_3,WWN,10:00:00:90:fa:11:22:04,No,IBM,
FAB-B,Effective,aix_prod01_0,WWN,10:00:00:90:fa:11:22:01,Yes,IBM,aix_prod01_0_2_storage01_pg02
FAB-B,Effective,aix_prod01_1,WWN,10:00:00:90:fa:11:22:02,Yes,IBM,aix_prod01_1_2_storage01_pg02
FAB-B,Effective,aix_prod01_2,WWN,10:00:00:90:fa:11:22:03,No,IBM,
FAB-B,Effective,aix_prod01_3,WWN,10:00:00:90:fa:11:22:04,No,IBM,
FAB-A,Effective,esxi_host01_0,WWN,10:00:00:90:fa:33:44:01,Yes,VMware,esxi_host01_0_2_storage02_pg01
FAB-A,Effective,esxi_host01_1,WWN,10:00:00:90:fa:33:44:02,No,VMware,
FAB-B,Effective,esxi_host01_0,WWN,10:00:00:90:fa:33:44:01,Yes,VMware,esxi_host01_0_2_storage02_pg02
FAB-B,Effective,esxi_host01_1,WWN,10:00:00:90:fa:33:44:02,No,VMware,
FAB-A,Effective,rhel_db01_0,WWN,10:00:00:90:fa:55:66:01,Yes,Dell,rhel_db01_0_2_storage03_pg01
FAB-A,Effective,rhel_db01_1,WWN,10:00:00:90:fa:55:66:02,No,Dell,
FAB-B,Effective,rhel_db01_0,WWN,10:00:00:90:fa:55:66:01,Yes,Dell,rhel_db01_0_2_storage03_pg02
FAB-B,Effective,rhel_db01_1,WWN,10:00:00:90:fa:55:66:02,No,Dell,
FAB-A,Effective,aix_prod02_0,WWN,10:00:00:90:fa:77:88:01,Yes,HP,aix_prod02_0_2_storage01_pg01
FAB-A,Effective,aix_prod02_1,WWN,10:00:00:90:fa:77:88:02,Yes,HP,aix_prod02_1_2_storage01_pg01
FAB-A,Effective,aix_prod02_2,WWN,10:00:00:90:fa:77:88:03,No,HP,
FAB-A,Effective,aix_prod02_3,WWN,10:00:00:90:fa:77:88:04,No,HP,
FAB-B,Effective,aix_prod02_0,WWN,10:00:00:90:fa:77:88:01,Yes,HP,aix_prod02_0_2_storage01_pg02
FAB-B,Effective,aix_prod02_1,WWN,10:00:00:90:fa:77:88:02,Yes,HP,aix_prod02_1_2_storage01_pg02
FAB-B,Effective,aix_prod02_2,WWN,10:00:00:90:fa:77:88:03,No,HP,
FAB-B,Effective,aix_prod02_3,WWN,10:00:00:90:fa:77:88:04,No,HP,
FAB-A,Effective,esxi_host02_0,WWN,10:00:00:90:fa:99:aa:01,Yes,VMware,esxi_host02_0_2_storage02_pg01
FAB-A,Effective,esxi_host02_1,WWN,10:00:00:90:fa:99:aa:02,No,VMware,
FAB-B,Effective,esxi_host02_0,WWN,10:00:00:90:fa:99:aa:01,No,VMware,
FAB-B,Effective,esxi_host02_1,WWN,10:00:00:90:fa:99:aa:02,No,VMware,
